herramienta,endpoint,concurrency,cpu_usage,memory_usage,latency,requests_per_second,error_rate
apirest-app,simple,1,0.5,0.25,2.6702880859375e-05,4.15
apirest-app,simple,5,0.5,0.25,2.6702880859375e-05,0.84
apirest-app,simple,10,0.5,0.25,2.6702880859375e-05,0.42
apirest-app,simple,20,0.5,0.25,2.6702880859375e-05,0.21
apirest-app,simple,50,0.5,0.25,2.6702880859375e-05,0.09
apirest-app,simple,100,0.5,0.25,2.6702880859375e-05,0.04
apirest-app,simple,200,0.5,0.25,2.6702880859375e-05,0.02
apirest-app,simple,500,0.5,0.25,2.6702880859375e-05,0.01
apirest-app,large,1,0.5,0.25,0.9540653228759766,4.17
apirest-app,large,5,0.5,0.25,0.9540653228759766,0.84
apirest-app,large,10,0.5,0.25,0.9540653228759766,0.42
apirest-app,large,20,0.5,0.25,0.9540653228759766,0.21
apirest-app,large,50,0.5,0.25,0.9540653228759766,0.08
apirest-app,large,100,0.5,0.25,0.9540653228759766,0.04
apirest-app,large,200,0.5,0.25,0.9540653228759766,0.02
apirest-app,large,500,0.5,0.25,0.9540653228759766,0.01
apirest-app,heavy,1,0.5,0.25,95.37125587463379,4.16
apirest-app,heavy,5,0.5,0.25,95.37125587463379,0.84
apirest-app,heavy,10,0.5,0.25,95.37125587463379,0.42
apirest-app,heavy,20,0.5,0.25,95.37125587463379,0.21
apirest-app,heavy,50,0.5,0.25,95.37125587463379,0.08
apirest-app,heavy,100,0.5,0.25,95.37125587463379,0.04
apirest-app,heavy,200,0.5,0.25,95.37125587463379,0.02
apirest-app,heavy,500,0.5,0.25,95.37125587463379,0.01
apirest-app,stream,1,0.5,0.25,0.0001373291015625,4.16
apirest-app,stream,5,0.5,0.25,0.0001373291015625,0.84
apirest-app,stream,10,0.5,0.25,0.0001373291015625,0.42
apirest-app,stream,20,0.5,0.25,0.0001373291015625,0.21
apirest-app,stream,50,0.5,0.25,0.0001373291015625,0.08
apirest-app,stream,100,0.5,0.25,0.0001373291015625,0.04
apirest-app,stream,200,0.5,0.25,0.0001373291015625,0.02
apirest-app,stream,500,0.5,0.25,0.0001373291015625,0.01
apirest-app,file,1,0.5,0.25,0.1700592041015625,4.17
apirest-app,file,5,0.5,0.25,0.1700592041015625,0.83
apirest-app,file,10,0.5,0.25,0.1700592041015625,0.42
apirest-app,file,20,0.5,0.25,0.1700592041015625,0.21
apirest-app,file,50,0.5,0.25,0.1700592041015625,0.09
apirest-app,file,100,0.5,0.25,0.1700592041015625,0.04
apirest-app,simple,1,0.5,0.25,2.6702880859375e-05,0.13
apirest-app,simple,5,0.5,0.25,2.6702880859375e-05,0.03
apirest-app,simple,10,0.5,0.25,2.6702880859375e-05,0.02
apirest-app,simple,20,0.5,0.25,2.6702880859375e-05,0.01
apirest-app,simple,50,0.5,0.25,2.6702880859375e-05,0.01
apirest-app,simple,100,0.5,0.25,2.6702880859375e-05,0.01
apirest-app,simple,200,0.5,0.25,2.6702880859375e-05,0.00
apirest-app,simple,500,0.5,0.25,2.6702880859375e-05,0.00
apirest-app,large,1,0.5,0.25,0.9540653228759766,0.41
apirest-app,large,5,0.5,0.25,0.9540653228759766,0.33
apirest-app,large,10,0.5,0.25,0.9540653228759766,0.31
apirest-app,large,20,0.5,0.25,0.9540653228759766,0.30
apirest-app,large,50,0.5,0.25,0.9540653228759766,0.29
apirest-app,large,100,0.5,0.25,0.9540653228759766,0.29
apirest-app,large,200,0.5,0.25,0.9540653228759766,57.97
